id,city,match_date,season,match_number,team1,team2,venue,toss_winner,toss_decision,superover,winning_team,won_by,margin,method,player_of_match,umpire1,umpire2
335982,Bangalore,2008-04-18,2008,Match 1,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,,Kolkata Knight Riders,runs,140.0,,BB McCullum,Asad Rauf,RE Koertzen
335991,Chandigarh,2008-04-25,2008,Match 10,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,,Kings XI Punjab,runs,66.0,,KC Sangakkara,Aleem Dar,AM Saheba
335992,Bangalore,2008-04-26,2008,Match 11,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,,Rajasthan Royals,wickets,7.0,,SR Watson,MR Benson,IL Howell
335993,Chennai,2008-04-26,2008,Match 12,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,,Chennai Super Kings,wickets,9.0,,JDP Oram,BF Bowden,AV Jayaprakash
335994,Mumbai,2008-04-27,2008,Match 13,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,,Deccan Chargers,wickets,10.0,,AC Gilchrist,Asad Rauf,SL Shastri
335995,Chandigarh,2008-04-27,2008,Match 14,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,,Kings XI Punjab,wickets,4.0,,SM Katich,RE Koertzen,I Shivram
335996,Bangalore,2008-04-28,2008,Match 15,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,,Chennai Super Kings,runs,13.0,,MS Dhoni,BR Doctrove,RB Tiffin
335997,Kolkata,2008-04-29,2008,Match 16,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,,Mumbai Indians,wickets,7.0,,ST Jayasuriya,BF Bowden,AV Jayaprakash
335998,Delhi,2008-04-30,2008,Match 17,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,,Delhi Daredevils,runs,10.0,,GD McGrath,Aleem Dar,I Shivram
335999,Hyderabad,2008-05-01,2008,Match 18,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,,Kings XI Punjab,wickets,7.0,,SE Marsh,BR Doctrove,RB Tiffin
336000,Jaipur,2008-05-01,2008,Match 19,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,,Rajasthan Royals,runs,45.0,,SA Asnodkar,RE Koertzen,GA Pratapkumar
335983,Chandigarh,2008-04-19,2008,Match 2,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,,Chennai Super Kings,runs,33.0,,MEK Hussey,MR Benson,SL Shastri
336001,Chennai,2008-05-02,2008,Match 20,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,,Delhi Daredevils,wickets,8.0,,V Sehwag,BF Bowden,K Hariharan
336003,Chandigarh,2008-05-03,2008,Match 21,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,,Kings XI Punjab,runs,9.0,,IK Pathan,DJ Harper,I Shivram
336034,Bangalore,2008-05-03,2008,Match 22,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,,Royal Challengers Bangalore,runs,3.0,,P Kumar,BR Doctrove,SL Shastri
336004,Mumbai,2008-05-04,2008,Match 23,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,,Mumbai Indians,runs,29.0,,SM Pollock,IL Howell,RE Koertzen
336005,Jaipur,2008-05-04,2008,Match 24,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,,Rajasthan Royals,wickets,8.0,,Sohail Tanvir,Asad Rauf,AV Jayaprakash
336006,Bangalore,2008-05-05,2008,Match 25,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,,Kings XI Punjab,wickets,6.0,,S Sreesanth,SJ Davis,BR Doctrove
336007,Chennai,2008-05-06,2008,Match 26,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,,Deccan Chargers,wickets,7.0,,AC Gilchrist,MR Benson,RB Tiffin
336008,Mumbai,2008-05-07,2008,Match 27,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,,Mumbai Indians,wickets,7.0,,A Nehra,DJ Harper,RE Koertzen
336009,Delhi,2008-05-08,2008,Match 28,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,,Chennai Super Kings,wickets,4.0,,MS Dhoni,Aleem Dar,RB Tiffin
336010,Kolkata,2008-05-08,2008,Match 29,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,,Kolkata Knight Riders,runs,5.0,,SC Ganguly,Asad Rauf,IL Howell
335984,Delhi,2008-04-19,2008,Match 3,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,,Delhi Daredevils,wickets,9.0,,MF Maharoof,Aleem Dar,GA Pratapkumar
336011,Jaipur,2008-05-09,2008,Match 30,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,,Rajasthan Royals,wickets,8.0,,YK Pathan,MR Benson,AM Saheba
336013,Chennai,2008-05-10,2008,Match 31,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,,Chennai Super Kings,runs,18.0,,L Balaji,AV Jayaprakash,BG Jerling
336014,Hyderabad,2008-05-11,2008,Match 32,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,,Kolkata Knight Riders,runs,23.0,,SC Ganguly,IL Howell,AM Saheba
336015,Jaipur,2008-05-11,2008,Match 33,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,field,,Rajasthan Royals,wickets,3.0,,SR Watson,SJ Davis,RE Koertzen
336016,Chandigarh,2008-05-12,2008,Match 34,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,,Kings XI Punjab,wickets,9.0,,SE Marsh,BR Doctrove,I Shivram
336017,Kolkata,2008-05-13,2008,Match 35,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,,Kolkata Knight Riders,runs,23.0,,Shoaib Akhtar,Asad Rauf,IL Howell
336018,Mumbai,2008-05-14,2008,Match 36,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,,Mumbai Indians,wickets,9.0,,ST Jayasuriya,BR Doctrove,AM Saheba
336020,Delhi,2008-05-15,2008,Match 37,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,,Delhi Daredevils,runs,12.0,,A Mishra,BG Jerling,GA Pratapkumar
